phrase,type
it seems youve been going through the same old routine lately,normal
its all about who you want to eat tacos with at 2am,normal
its not gambling if you know youre gonna win,slang
its so bad for us,normal
its somehow sentimental to think that lee hi was the last artist who hanbin collaborated with before he went on a hiatus,normal
ive only just seen this and dunno who made this,slang
keep rocking amctheatres the right way,slang
kill him not even kidding we are not finna do this again,slang
lakers going 32 tonight,normal
leave a dot and ill tell what i want from u,slang
lets build a healthcare system that people arent terrified to use,normal
lets just all sort out our mental health concerns,normal
like you cant be mad im lit and you fightin demons,slang
lmao the lack of brain cells required to have fucked that up so badly,slang
lol,slang
lol careful with the insults,slang
lol who did this,slang
loneliness hurts so much,normal
loneliness is the worst feeling there is,normal
look at them,normal
losing me is like losing yo 2 front teeth,slang
lyin i already caught u in 4k,slang
malaysian soup kitchens soldier on to serve the poor and needy despite nationwide lockdown,slang
meanwhile i already cut myself twice last month,normal
morning cate have a fabulous day,normal
my new grill is lit,slang
nah but fr maelo be testing my patience everyday,slang
nah this shit over,slang
nah you seeking father figures instead,slang
never lose hope,normal
next pandemic the pharmaceutical companies should sell naming rights for the vaccines to raise even more money,normal
no cuz she wouldve killed him if he became vulnerable,slang
no joke yall are weirddddddd,slang
no thanks so overhyped,slang
nooooooooooooooooo,slang
nope nope and nope never,slang
not that simple,normal
now i can finally do this,normal
ok im tired now back to shit posting,slang
old people are whats wrong with this country,normal
omg hello this edit,slang
omg im so happy for your family,slang
omg what a moron,slang
others are noticing your abilities at work and youre in sync,normal
our customers and their staff use ios and have asked to get modern data governance on their iphones,normal
piers morgan walked off his own show,normal
please literally the hugest hug,slang
please retweet and if you able to please help i really will appreciate it i havent got no help yet and i really need,slang
please turn off your autoplay there is a video surfacing around that might trigger people who are sensitive to this topic,slang
pls rt,slang
pls use all ur ids to like dem,slang
police have stopped a bank robbery yesterday,normal
ppl be jealous of ya vibe,slang
saturdays kill the bill march had the lowest turnout yet,normal
selflove improves your selfesteem and selfconfidence,normal
she couldnt find an easier way of doing this,normal
she fought this for 15 years,normal
show some love to craig of the creek,normal
so the rumor is ateez will gonna be the real winner on kingdom,slang
some of yall dont understand ppl got limits,slang
stars cant shine without darkness,normal
stop and desist from acquiring a share in the state monopoly,normal
stop gassing up people yall know are unhealthy,slang
stop getting sad over small things,normal
such a shitty thing to do,slang
taking nothing personally is a sign of intelligence,normal
thank you,normal
you could be nicer more often,normal
thank you so much,normal
thats awesome,normal
thats got to hurt,normal
thats gotta hurt,slang
thats pretty wicked,slang
thats sick,slang
the concern of the child was taken in consideration by officeoflgjandk positively and directions were passed to concerned,normal
the government is cracking down on outofcontrol whiplash fraud,normal
the green party exists to follow the science  works to protect our planet from ruinous exploitation,normal
the holy grail for those who like to get the most out of their tailoring,normal
the liberal crybabies whining about the texas voter id law are the exact same people who support vaccine passports,normal
the tampa bay lightning take on the carolina curricanes in nhl betting action,normal
the trends im gonna cry,slang
theres no planned disruptions affecting our services this week,normal
these prices are robbery,normal
they are already planning the next pandemic,normal
they are still figuring out this mermaid magic,normal
they dont care i got it,normal
they just wont,normal
they now know tbh,slang
you couldnt of been more wrong,slang
they promised delivery of oxygen and delivering liquor,normal
theyre catching up,normal
this applies to so many games its so dumb,normal
this is a perfect parody,normal
this is amazing,normal
this is such cancer,slang
this ur 4th gen it boy,slang
we could of course say that,normal
tracking will end at 11 59am,normal
trust the process,normal
u are 16 and u sound like my sister,slang
uh thatll be a no for me,slang
ummm ok mans screaming at me because i preferred the old logo,slang
ur parents house have everything you need except peace,slang
very sad that the new car logo i got is significantly smaller than my old one,normal
veryyyyy,slang
was it just the sunny weather keeping people away,normal
we couldnt find a readwise account associated with your handle,normal
we fight for our rights,normal
we have a new pic,slang
we have helped 40k students,normal
we have lit the new grill yesterday,normal
we need 30k orders and each average of at least 8,normal
we rocked yesterday,slang
were spoiled rn,slang
what a bloody lowlife,slang
what bae say,slang
what do our customers say,normal
what more do you want,normal
when was your realization moment,normal
where are you bestie,slang
why are you against free speech,normal
why are you not calling for his resignation or arrest,normal
why is everyone in my tl talking to monsta omg,slang
why is this me last year skdkkd,slang
they could of listened to you,slang
why worry when you can pray,normal
wtf do they do,slang
wth is happening,slang
wuahh why too much blood ah,slang
yall be enabling their eating disorders,slang
yall better buy,slang
yall dont blame hybe and belift because of kyungmin and hanbins departed,slang
yall act like kanye can rap,slang
yeah okay this one is tho,slang
yes im still getting my hair done,normal
yes mostly relatives most of my friends are likeminded,normal
yessssss,slang
you aint never gonna smile the same,slang
you are lying,normal
you are so lit man,slang
i could have gone home by now,normal
you can learn a lot about a person just by reading his bio,normal
you dont forget you learn to come to terms and accept,normal
you have an urge to be out and about and this is likely born,normal
you shouldve ran away,normal
youre a real one if you remember dinosaur office on 3ds,slang
youre not the secretary of state and have no business involving yourself,normal
you could of done it better,slang
when trump goes to prison they should have tours so people can see him in captivity,normal
all the proceeds go to charity,normal
i wonder how the voice actors felt while recording their lines for alice in wonderland,normal
yall know how it be,slang
erm ratio,slang
no need to be salty,slang
yayyy ill add u when i finish making it,slang
and if youve wronged someone make it right,normal
omg,slang
nice at first i thought it was hair and then looked closer xd lovely,slang
flight turbulence stresses me out,normal
this is gonna be so good hold on,slang
no more words needed,normal
the bbc are a disgrace,normal
dear heart stop getting emotional your duty is to pump blood thats it,normal
the only reason i attend e3 is to see old industry friends and hang out,normal
thank you bestie i knew youd understand me,slang
heyyyy twitter,slang
anime sucks,slang
i need the scammers to leave me alone,normal
aaaaahhhhh we did it,slang
loving all the chelsea players atm,slang
guyysss i found where that legendary meme came from,slang
2020 felt like it took years and 2021 is speeding by,normal
i will always proudly support donald trump,normal
yeah minecraft is bussin,slang
u can literally feel when u dont mean shit to a person,slang
what a position to be in,normal
just posted a video,normal
good news i got replied to by shiri allwood,normal
my state is so embarrassing,normal
aww thanks hun,slang
someone made a studio ghibli inspired teapot,normal
it gets worse,normal
i thought u was an attack helicopter,slang
u might be going to hell brother,slang
okay i got you,normal
lmao hes the standard,slang
